Pcurr           Wcurr           Pcurr - Pprev   Wcurr - Wprev  
== TC 7 (N=94563103, P1=1, W1=5, M=9999949, K=9999991, A=419997859, B=389998009, C=149999866, D=279999748

9999949         6               9999948         1              
9999948         7               -1              1              
9999947         8               -1              1              
9999946         9               -1              1              
9999945         10              -1              1              
9999944         11              -1              1              
9999943         12              -1              1              
9999942         13              -1              1              
9999941         14              -1              1              
9999940         15              -1              1              
9999939         16              -1              1              
9999938         17              -1              1              
9999937         18              -1              1              
9999936         19              -1              1              
9999935         20              -1              1              
9999934         21              -1              1              
9999933         22              -1              1              
9999932         23              -1              1              
9999931         24              -1              1              

== TC 8 (N=523223149082128364, P1=158568, W1=991720, M=2994044, K=1181676, A=376610494, B=650869357, C=336623539, D=620070320

1700590         1057873         1542022         66153          
2243210         991888          542620          -65985         
2126158         1162417         -117052         170529         
1011462         718324          -1114696        -444093        
1547738         919981          536276          201657         
1628310         601960          80572           -318021        
666378          759373          -961932         157413         
1167118         1100356         500740          340983         
704750          1136161         -462368         35805          
760878          79000           56128           -1057161       
809598          120925          48720           41925          
1357154         2368            547556          -118557        
2611678         1051453         1254524         1049085        
2235182         204220          -376496         -847233        
628142          221737          -1607040        17517          
1489834         613840          861692          392103         
1789714         218017          299880          -395823        
255978          831100          -1533736        613083         
1008894         1042369         752916          211269         

== TC 9 (N=11, P1=2, W1=3, M=5, K=7, A=11, B=13, C=17, D=19

1               1               -1              -2             
5               2               4               1              
4               5               -1              3              
3               7               -1              2              
2               6               -1              -1             
1               3               -1              -3             
5               1               4               -2             
4               2               -1              1              
3               5               -1              3              
2               7               -1              2              
1               6               -1              -1             
5               3               4               -3             
4               1               -1              -2             
3               2               -1              1              
2               5               -1              3              
1               7               -1              2              
5               6               4               -1             
4               3               -1              -3             
3               1               -1              -2             

== TC 10 (N=1530944270, P1=123456, W1=557, M=9988776, K=1025, A=559372110, B=918968142, C=802729910, D=688062000

830767          371             707311          -186           
3928465         886             3097698         515            
2101429         711             -1827036        -175           
5873005         661             3771576         -50            
5256037         61              -616968         -600           
1310005         36              -3946032        -25            
7698061         761             6388056         725            
189541          236             -7508520        -525           
4095253         86              3905712         -150           
1304245         336             -2791008        250            
3931021         261             2626776         -75            
3773053         386             -157968         125            
349741          861             -3423312        475            
8978293         411             8628552         -450           
8392861         136             -585432         -275           
5093821         936             -3299040        800            
5097277         286             3456            -650           
7357501         686             2260224         400            
7205149         361             -152352         -325           

== TC 11 (N=81834165, P1=9999991, W1=1, M=9999991, K=9999989, A=389999650, B=169999844, C=799999121, D=149999837

9999989         4               -2              3              
9999987         7               -2              3              
9999985         10              -2              3              
9999983         13              -2              3              
9999981         16              -2              3              
9999979         19              -2              3              
9999977         22              -2              3              
9999975         25              -2              3              
9999973         28              -2              3              
9999971         31              -2              3              
9999969         34              -2              3              
9999967         37              -2              3              
9999965         40              -2              3              
9999963         43              -2              3              
9999961         46              -2              3              
9999959         49              -2              3              
9999957         52              -2              3              
9999955         55              -2              3              
9999953         58              -2              3              

== TC 12 (N=81922551, P1=759324, W1=967048, M=10000000, K=9999999, A=930000001, B=980000000, C=29999998, D=279999972

759325          967049          1               1              
759326          967050          1               1              
759327          967051          1               1              
759328          967052          1               1              
759329          967053          1               1              
759330          967054          1               1              
759331          967055          1               1              
759332          967056          1               1              
759333          967057          1               1              
759334          967058          1               1              
759335          967059          1               1              
759336          967060          1               1              
759337          967061          1               1              
759338          967062          1               1              
759339          967063          1               1              
759340          967064          1               1              
759341          967065          1               1              
759342          967066          1               1              
759343          967067          1               1              

== TC 13 (N=80933573, P1=102400, W1=15000, M=9699690, K=9748872, A=989369349, B=872975008, C=916394050, D=370457193

2231609         1230058         2129209         1215058        
9100850         3376094         6869241         2146036        
1708349         3871350         -7392501        495256         
6445790         5486854         4737441         1615504        
9072749         1473974         2626959         -4012880       
3577550         3879462         -5495199        2405488        
3859529         6152038         281979          2272576        
5505860         7274702         1646331         1122664        
351749          1844430         -5154111        -5430272       
1358540         5010238         1006791         3165808        
6970019         1386950         5611479         -3623288       
2967080         6492366         -4002939        5105416        
3995189         5934982         1028109         -557384        
1164740         8973854         -2830449        3038872        
3471929         4690686         2307189         -4283168       
8209370         4430302         4737441         -260384        
1136639         2576558         -7072731        -1853744       
5341130         6551502         4204491         3974944        
5623109         1035262         281979          -5516240       

== TC 14 (N=86974256, P1=123456, W1=557, M=9988776, K=1025, A=729181302, B=409540566, C=403985, D=491394225

830767          371             707311          -186           
3928465         886             3097698         515            
2101429         711             -1827036        -175           
5873005         661             3771576         -50            
5256037         61              -616968         -600           
1310005         36              -3946032        -25            
7698061         761             6388056         725            
189541          236             -7508520        -525           
4095253         86              3905712         -150           
1304245         336             -2791008        250            
3931021         261             2626776         -75            
3773053         386             -157968         125            
349741          861             -3423312        475            
8978293         411             8628552         -450           
8392861         136             -585432         -275           
5093821         936             -3299040        800            
5097277         286             3456            -650           
7357501         686             2260224         400            
7205149         361             -152352         -325           

== TC 15 (N=299896237124947938, P1=681206, W1=164538, M=2280874, K=981991, A=416793690, B=904023823, C=813682336, D=774801135

186870          451609          -494336         287071         
1498060         858822          1311190         407213         
1897668         461763          399608          -397059        
1780362         757434          -117306         295671         
1126154         406256          -654208         -351178        
1697332         912842          571178          506586         
1621408         153508          -75924          -759334        
380062          849939          -1241346        696431         
1341576         116620          961514          -733319        
2243354         507450          901778          390830         
216358          666424          -2026996        158974         
1829496         689088          1613138         22664          
1754826         113665          -74670          -575423        
2085388         681827          330562          568162         
363152          541478          -1722236        -140349        
534266          637672          171114          96194          
1040806         10047           506540          -627625        
185464          202948          -855342         192901         
841496          125723          656032          -77225         

== TC 16 (N=918495108443110920, P1=9999991, W1=1, M=9999991, K=9999989, A=849999236, B=589999466, C=309999660, D=169999814

9999989         3               -2              2              
9999987         5               -2              2              
9999985         7               -2              2              
9999983         9               -2              2              
9999981         11              -2              2              
9999979         13              -2              2              
9999977         15              -2              2              
9999975         17              -2              2              
9999973         19              -2              2              
9999971         21              -2              2              
9999969         23              -2              2              
9999967         25              -2              2              
9999965         27              -2              2              
9999963         29              -2              2              
9999961         31              -2              2              
9999959         33              -2              2              
9999957         35              -2              2              
9999955         37              -2              2              
9999953         39              -2              2              

== TC 17 (N=1581945094, P1=9999991, W1=1, M=9999991, K=9999989, A=159999857, B=489999556, C=549999396, D=719999209

9999989         3               -2              2              
9999987         5               -2              2              
9999985         7               -2              2              
9999983         9               -2              2              
9999981         11              -2              2              
9999979         13              -2              2              
9999977         15              -2              2              
9999975         17              -2              2              
9999973         19              -2              2              
9999971         21              -2              2              
9999969         23              -2              2              
9999967         25              -2              2              
9999965         27              -2              2              
9999963         29              -2              2              
9999961         31              -2              2              
9999959         33              -2              2              
9999957         35              -2              2              
9999955         37              -2              2              
9999953         39              -2              2              

== TC 18 (N=1603800783, P1=9999991, W1=1, M=9999991, K=9999989, A=69999938, B=529999520, C=339999627, D=679999254

9999989         4               -2              3              
9999987         7               -2              3              
9999985         10              -2              3              
9999983         13              -2              3              
9999981         16              -2              3              
9999979         19              -2              3              
9999977         22              -2              3              
9999975         25              -2              3              
9999973         28              -2              3              
9999971         31              -2              3              
9999969         34              -2              3              
9999967         37              -2              3              
9999965         40              -2              3              
9999963         43              -2              3              
9999961         46              -2              3              
9999959         49              -2              3              
9999957         52              -2              3              
9999955         55              -2              3              
9999953         58              -2              3              

== TC 19 (N=980046644627629799, P1=9, W1=123456, M=18, K=10000000, A=831918484, B=451864686, C=840000324, D=650000765

13              510             4               -122946        
17              166006          4               165496         
3               3786710         -14             3620704        
7               6894806         4               3108096        
11              3917910         4               -2976896       
15              9403606         4               5485696        
1               6769110         -14             -2634496       
5               3192406         4               -3576704       
9               4340310         4               1147904        
13              6261206         4               1920896        
17              8631510         4               2370304        
3               6610006         -14             -2021504       
7               1642710         4               -4967296       
11              2238806         4               596096         
15              5373910         4               3135104        
1               1147606         -14             -4226304       
5               1825110         4               677504         
9               1336406         4               -488704        
13              2996310         4               1659904        

== TC 20 (N=1567487689, P1=9, W1=123456, M=18, K=10000000, A=865981936, B=625209438, C=350000324, D=390000765

13              510             4               -122946        
17              166006          4               165496         
3               3786710         -14             3620704        
7               6894806         4               3108096        
11              3917910         4               -2976896       
15              9403606         4               5485696        
1               6769110         -14             -2634496       
5               3192406         4               -3576704       
9               4340310         4               1147904        
13              6261206         4               1920896        
17              8631510         4               2370304        
3               6610006         -14             -2021504       
7               1642710         4               -4967296       
11              2238806         4               596096         
15              5373910         4               3135104        
1               1147606         -14             -4226304       
5               1825110         4               677504         
9               1336406         4               -488704        
13              2996310         4               1659904        
